"グループ名","名字","名前","名字読み","名前読み","TwitterID","TwitterName","フォロワー数","ツイート数","認証","Twitterプロフィール"
"HIGH SPIRITS","葉月","沙耶","はづき","さやか","Sayapon_HS","葉月沙耶⚡HIGHSPIRITS","15507","82166","","💚🧚‍♂️ミドリ担当🧚‍♂️💚さやぽん @HiSp_info 1999.3.10(22)/AB型/152cm/スケジュール https://t.co/3zZKcJXI56 コラボデザインの洋服 受注開始 https://t.co/mBW3kVOnZP"
"HIGH SPIRITS","椎名","栞","しいな","しおり","shiori_HS","椎名栞⚡️HIGH SPIRITS新メンバー","1061","3810","","ハイスピ〈@HiSp_info 〉新メンバー 黄色担当 📣🧸🍯🌻/❥ちゃむって呼ばれてます/ピカピカのアイドル1年生👧🏻📛🎒/可愛いものが大好き⸜( •⌄• )⸝#勝たんしかちゃむちゃむ ってタグつけてくれたら見に行きます🥺"
"HINAGIKU","","あんびーべいびー","","あんびーべいびー","baby_hinagiku","あんびーべいびー👶🏼💎","256","133","","HINAGIKU.(@hinagiku_idol)💙クレヨンブルー担当💙 いんすた☞https://t.co/GUPsdF6lx9"
"HINAGIKU","","雹華","","ひょうか","hyoka_hinagiku","雹華","336","100","","HINAGIKU.@hinagiku_idolの雹華(ひょうか)です¨̮❄︎ハイソパープル https://t.co/dr6kIPIH9A"
"HINAGIKU","招癸","鈴袮","まねき","すずね","maneki_hinagiku","招癸鈴袮","338","286","","ﾏﾈｷｽｽﾞﾈ HINAGIKU. @hinagiku_idol つくも色 🤍Instagram▶️maneki_suzune"
"HINAGIKU","","みや子","","みやこ","miyako_hinagiku","HINAGIKU. みや子🎌","1382","353","","HINAGIKU.(@hinagiku_idol)日の丸レッド🎌ｲﾝｽﾀｸﾞﾗﾑhttps://t.co/tQqCbXPJNd"
"HINAGIKU","ハナゾノ","兎リ","はなぞの","うり","uri_hinagiku","ハナゾノ兎リ🐇💛","10281","6968","","はなぞの うり/東京/♂/アイドルグループHINAGIKU. @hinagiku_idol/自由と余裕の金色(こんじき)担当/いま脱げるスーパージェンダーレスアイドル/ファンマは🐇💛/🔞はファンティアにて/私個人へのお仕事依頼はDMでお願い致します。"
"HOT DOG CAT","黒沢","あかり","くろさわ","あかり","_Akari_kurosawa","黒沢あかり姫🎀HOTDOGCAT","7174","13302","","@HOTDOGCAT_infoの赤担当お姫さま20さい👼🏻💕舌ピアスがあいてます♡ピンクが大好き♡ツインテールが多めです♡世界で一番自分が大好き🪞🎀"
"HOT DOG CAT","白河","陽奈","しらかわ","ひな","_hina_shirakawa","白河陽奈🐣HOT DOG CAT","3184","6128","","@HOTDOGCAT_info のやんちゃリーダー👾￤白担当♡￤ぷーさん￤弱ペダ.ハイキューがすきです🛵￤恐竜飼いたい🦖￤よく食べてよく喋ります🍣￤夏の!!全力応援キャラバンツアー!!ありがとうございました❕冬編もよろしくお願いします❕"
"HOT DOG CAT","桐谷","ひとみ","きりたに","ひとみ","kiritani_hitomi","桐谷ひとみ🐰《HOT DOG CAT》","1404","2625","","💘 𝐻𝑂𝑇 𝐷𝑂𝐺 𝐶𝐴𝑇《 @HOTDOGCAT_info 》ピンク担当💘ひいちゃんって呼ばれています( ･ᴗ･ )❤︎ ┊ #アイドル界の桐谷さん ┊ SHOWROOM毎日配信中❕┊SAX🎷 ┊2022年はCDリリース&冬の全国ツアーがあります🌟"
"HOT DOG CAT","東條","紬","とうじょう","むぎ","mugi___cha__","東條紬🐼🐼【HOT DOG CAT】","2001","4374","","いっけな〜い😵遅刻遅刻‼️ 私、東條紬。青森から来た魔界人っ🦇💜突然@HOTDOGCAT_info のSexyパープルビヨンセ担当に⁉️11月22~25日演劇『純情アイスティー』公演⁉️冬の‼︎全力応援キャラバンツアー決定‼️初冬にCDリリースも決定⁉️次回、『舞台純情アイスティー3日目❗️』お楽しみに💕"
"HOT DOG CAT","鈴本","りん","すずもと","りん","Rin_Suzumoto","鈴本りん(HOT DOG CAT)","2513","6473","","☁️𓂃 𓈒𓏸 @HOTDOGCAT_info 𓏸𓈒𓂃☁️青色担当/黒髪ショート/164cm/千葉県出身/24歳"
"HOT DOG CAT","大原","莉奈","おおはら","りな","rinarun1028","大原莉奈🐠🐠HOTDOGCAT","4795","9076","","🌈 @HOTDOGCAT_info♡ぎょぎょぎょイエローリップダムゼル担当♡魚顔担当 #おしゃかなるん ♡蒙古タンメン中本信者 #おしゃかなかもと♡レモンサワーをこよなく愛します♡野球観戦(日ハム)♡アイドル全般好き♡バンドリ♡2022年冬CDリリース&全国ツアー決定♡🌈"
"HULLABALOO","林檎","猫丹","ぽむ","まおたん","pom_mao_HLBL","林檎猫丹 ◤HULLABALOO◢","611","2253","","フラバルーの自称 ピアスばちばちぽんぽこ白髪担当 @HULLABALOO_jp ︎︎ ︎※もう黒髪じゃないです #ぽむまおといっしょ"
"HULLABALOO","王","零々","わん","りんりん","wanrin_HLBL","王零々@HULLABALOO","764","1616","","HULLABALOO (@HULLABALOO_jp) ／毎週水曜ツイキャスにてゲーム雑談配信「わん🐾プレイ！」してるん"
"HULLABALOO","","ざらめ","","ざらめ","zarame_HLBL","ざらめ HULLABALOO","452","1500","","@HULLABALOO_jp 🤍"
"husky","","びゃくや","","びゃくや","husky_byakuya_","びゃくや","380","244","","”びゃくや”はひらがなです （🦷🤍） 15さい、@husky_idol新入りくん"
"husky","","ちくわ","","ちくわ","husky_chikuwa","ちくわﾁｬﾝ11/27ツアーファイナル福岡","5452","15693","","@husky_idol 172cm #ミスiD2021 なにわの大スター賞"
"husky","","響","","ひびき","husky_hibiki","響","393","231","","@husky_idol 新メンバーㅤㅤ ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ11/27福岡ワンマン"
"husky","ひな","レトリバー","ひな","れとりばー","husky_hina","ひな・レトリバー","1919","3073","","青色担当。少々IQ低めの仕上がりですっ♀(@husky_idol) 自撮りは加工 🐾今は足を負傷中…🐾"
"husky","","kaede","","かえで","husky_kaede","kaede","815","1141","","husky @husky_idol みどりいろ 🍻"
"husky","","のどか","","のどか","husky_nodoka","のどか “husky” 11/27ワンマンライブ","3126","13888","","【@husky_idol】https://t.co/1saG1edkbd"
"husky","","凛","","りん","husky_rin1","凛(husky)","1679","5663","","red■■京都出身■■猫派で猫背■■@husky_idol 11/27ワンマンライブツアーファイナル福岡スカラエスパシオよろしく"
"I MY ME MINE","高槻","あいの","たかつき","あいの","Aino_IMMM","高槻あいの【 I MY ME MINE 】","3395","11704","","@IMMM_official ┊黄色┊🐱💛 ┊性格がとっても猫です🐾┊ライブ情報はこちらから⇒⇒https://t.co/CpFH38Jd9g"
"I MY ME MINE","雪白","ひなこ","ゆきしら","ひな","Hina_IMMM","雪白 ひな🐣🍼【I MY ME MINE 】","1013","4566","","❅ I MY ME MINE (@IMMM_official) 青色ばぶ ❅ ひなな推しは #ひよこ組 ❆ #そんな事言ったってひなな  ※1リプ1返です！"
"I MY ME MINE","小森","ひなこ","こもり","ひなこ","Hinako_IMMM","小森ひなこ💜🕊【I MY ME MINE】","983","3040","","《@IMMM_official》推してくれたら必ず君を幸せにするよ🕊 Twitterはじめました◎アイマイ新メンバー！！フォローすると良い事あるみたい❤︎ぴっぴって呼ばれてます🐤圧倒的丸顔です○目標▶︎今年までにフォロワー1000人超えたい！！"
"I MY ME MINE","百千","もね","ももせ","もね","Mone_IMMM","百千もね❤️‍🔥🐈‍⬛【I MY ME MINE】","3665","16990","","アイマイ（ @IMMM_official ）の 赤色担当❤️‍🔥 丸顔猫目ショートヘア／  ☻ライブ予定➩ https://t.co/f17PmCmXmo"
"I MY ME MINE","鈴永","りさ","すずなが","りさ","Risa_IMMM","鈴永りさ🥦🦎【I MY ME MINE】","2379","13665","","(@IMMM_official)のみどり🍈 メロンソーダはみどり！クリームソーダもみどり！！"
"I MY ME MINE","本多","しおり","ほんだ","しおり","Shiori_IMMM","本多しおり","5855","1791","","@IMMM_official 白色担当152cmです🪄"
"I MY ME MINE","早瀬","ゆい","はやせ","ゆい","Yui_IMMM","早瀬ゆい🐇🧡【I MY ME MINE】","1640","3526","","〔@IMMM_official 〕 アニメとラーメンと睡眠で出来ています/ライブ情報🟠 https://t.co/rNUi76zzOy オレンジ振ってくれたらみつけるよ、"
"I MY ME MINE","音海","ゆうな","おとみ","ゆうな","Yuuna_IMMM","音海ゆうな🦄💗【I MY ME MINE】","2406","8311","","🎀【 @IMMM_official 】のぴんく 🎀12/1生誕 🎀https://t.co/WPqsa8QWAL 　　　　　　　　　　　　🎀会える日https://t.co/1fPT47HNbT"
"i-COL","","あいす","","あいす","aisu_","あいす【あいこる】","6002","2200","","ショートカット15歳アイドル。i-COL (@icol_official) #あいすを愛す🍨"
"i-COL","","ころね","","ころね","colne_BLKLiLiY","こるね【あいこる】【くろゆり】","4978","4200","","BLK LiLiY(@BLKLiLiY) 白 犬シナモンくん🐶i-COL (@icol_official) #こるね親衛隊 #わんこるね"
"I’mew","虹乃","愛南","にじの","あいな","aina_imew","虹乃 愛南（あいみゅう）❤︎11/26生誕祭","998","1531","","I'mew（あいみゅう）のピンク@imew_official 🌈💗 にいのあいな・最年少18歳・広島県出身・アイドルオタク・歌とダンスが大好き・黒髪ロング・インスタも覗いて🪄🗯 #あいみゅうセトリ #愛されあいにゃ"
"I’mew","中澤","莉佳⼦","なかざわ","りかこ","rikako_imew","中澤 莉佳子（あいみゅう）","16075","7843","","東京大学工学部の大食いの人です。｜I'mew（あいみゅう）【@imew_official】のライトブルー🍚💙｜お仕事依頼はこちらまで→imew@wicky-records.com"
"I’mew","吉乃","椿","よしの","つばき","tsubaki_imew","吉乃 椿（あいみゅう）","592","741","","#あいみゅう【@imew_official】☁️ホワイトちゃん☁️ゲームと二次元とボカロとコーヒーがすき🐶歌声太い🐶"
"I’mew","愛崎","ユウナ","あいざき","ゆうな","yuna_imew","愛崎ユウナ（あいみゅう）","567","1244","","@imew_official のﾐﾝﾄｸﾞﾘｰﾝ🛼君の幼なじみ担当 *̣̩⋆̩ｽｷ☞Disney / バンド / 2次元 / お絵描き / ｶﾜｲｲﾓﾉ #ねえねえうなちゃん うなを好いてくれてる君のこと私は大好きだよ"
"I’mew","楠","ゆり","くすのき","ゆり","yuri_imew","楠ゆり（あいみゅう）","715","810","","I’mew（あいみゅう）のライトイエロー担当🍋💛🌼 芋が好き！！！！！邦ロックとマイメロと銀魂【@imew_official】#あいみゅう #ゆりめろ"
"I＊BIS","姫乃","のあ","ひめの","のあ","noa___himeno","姫乃のあ🍼👸💜眠姫(3)","675","11347","","I＊BIS  紫担当 💜 ばぶぅ👶🍼💞 わがままお嬢👸   ふわふわピュアハートのプリンセス👑💍 絶対幸せにします♡ 推しませんか？♡ ☆LIVEのご予約☆ 「@IBIS_cool」DMにて。 〘のあたん〙で予約！"
"I＊BIS","工藤","彩夏","くどう","さあや","saaya_kudo","工藤彩夏(さーや)🧚‍♀️","523","7573","","I＊BIS 【黄色担当】工藤 彩夏(さやか)さーやだよ🌟【趣味】ゴルフ、器械体操【LOVE】コナン、フルーツ、抹茶、DM返信できません【お仕事依頼→info.diva.create@gmail.com】【ライブご予約公式DM ＠IBIS_cool】"
"i+chip=memory","優月","ひな","ゆづき","ひな","icm__moon","優月ひな🐣i+chip=memory","3634","14517","","i+chip＝memory 月担当💛4/29~ mogu☆mogu 紫💜兼任 まるがお⍨⃝︎ ダンスリーダー 21歳 ダンス歴17年 おせんべい、紅茶、キティちゃんLove❤︎.*サイリウム振ってくれるの嬉しいかも"
"i+chip=memory","花咲","菜愛","はなさき","なな","icm_flower","花咲菜愛@i+chip=memory","2260","13067","","i+chip=memory (@from_2020) に帰ってきました！ 花担当🥀花咲菜愛です🐰赤色振ってしあわせにします写真写り悪いです自撮りは詐欺直接あいにきて👼🏻ライブスケジュール➡️https://t.co/IBYuO3BVc8"
"i+chip=memory","天羽","すい","あまう","すい","icm_heaven","天羽すい☁️ (i+chip=memory)","393","1764","","⠀ ⠀ i+chip=memoryの天担当 👼☁️ ( @from_2020 ) ⠀多趣味で色々な事が好きです ☁️ ゲームとアニメが好きなFPSゲーマー 🎮"
"i+chip=memory","雪野","ななみ","ゆきの","ななみ","icm_snow2","雪野ななみ i+chip=memory","739","6886","","@mogumogu_mgmg @from_2020 の青い子です~見つけてくれてありがとう👻"
"i+chip=memory","星野","えりこ","ほしの","えりこ","icm_star","星野えりこ(i+chip=memory)","981","2792","","@from_2020 i+chip=memory 19歳 #あいちっぷ #星野えりこ"
"i☆Ris","茜屋日","海夏","あかねや","ひみか","iRis_a_himi","茜屋日海夏(i☆Ris)","95856","25633","","actor/artist/あかねやひみか。本名です。🇯🇵×🇰🇷 https://t.co/EIZ0iKmQjD https://t.co/taYPe16oNf"
"i☆Ris","久保田","未夢","くぼた","みゆ","iRis_k_miyu","久保田未夢(i☆Ris)","184253","27836","","声優／アイドル／ 公式LINEアカウントできました！https://t.co/zVql9vRcYz ／2022年1月31日 写真集でるよ🏝🌺 ／#こんにくぼた #クボタヨーグルト お肉とヨーグルトとシャインマスカットがすきです。"
"i☆Ris","芹澤","優","せりざわ","ゆう","iRis_s_yu","芹澤優(i☆Ris)","133780","18876","認証","声優/アイドル/i☆Ris(青) #セリコソロ #芹澤水産 #エビエビユユユ　インスタ→ https://t.co/xQouB9lYcR TikTok→ https://t.co/iolCcH9mv3 海産物が大好きぷりですわ🐟"
"i☆Ris","若井","友希","わかい","ゆうき","iRis_w_yuki","若井友希(i☆Ris)","78489","23615","認証","i☆Risの赤です。声優／アイドル／シンガーソングライター／作詞作曲／コーヒーが好きです☕️プリパラ レオナ／やくならマグカップも 直子／岐阜県育ち☺︎  インスタ→https://t.co/k6d8krZJAx #やおラジ #若井珈琲"
"i☆Ris","山北","早紀","やまきた","さき","iRis_y_saki","山北早紀🐰♡(i☆Ris)","67656","15539","認証","さきさまです🐰💕i☆Risのみどリーダー💚加湿器、美容オタク。化粧品検定1級💄ストロングゼロパイン味しか勝たん🍍 #さきさまいにち2021 #おつかれさきさま #さきさまかわいい #さきさまっちょ #さけさま #さきさま加湿器  三十路です。"
"ICE-ink","詩星","まる","うたほし","まる","Marupi_ink","詩星まる","649","7745","","ICE-ink 紫色担当💜詩星(うたほし)まるです！！！！まるぴって呼んでください👊💥🚫推して絶対後悔させないよ🚫爆レス女さん サブ@mamamarupi__s"
"ICE-ink","楓","みなみ","かえで","みなみ","Minami_ink","楓みなみ@12/5(日)1stワンマンライブ","584","7099","","🟡ICE-ink 黄色🟡 \マイペース/おもろいこと大好き( ´ ▽ ` )ﾉ 公式▶︎@_ICE_ink_ メンバー▶︎@Remon_ink @Marupi_ink @Nagi_ink 相互垢(@Mnm_Hntk_)"
"ICE-ink","碧井","なぎ","あおい","なぎ","Nagi_ink","碧井なぎ 12/5 新宿Zirco Tokyo 1stワンマン","539","6115","","ICE-ink( @_ICE_ink_ )🦕ファビュラスブルー担当🦕 サブ垢→( @aoi_nagi_0210 ) 怖くないよ。おいで。お話しよう。"
"ICE-ink","紅葉","れもん","ゆずりは","れもん","Remon_ink","紅葉れもん@12/5 1stワンマン","1882","30525","","🌹 @_ICE_ink_のパワフルレッド担当(リーダー)🌹｢ステージが生きる場所」「当たり前なんて1つもこの世界には存在してない 」個人のお仕事はDMまで"
"IDOL★ST∀R MINE","五十嵐","あう","いがらし","あう","ISM_AU","五十嵐あう🌷アイスマ 12/12生誕祭❕❕","292","1515","","@IDOL_STAR_MINE ぴんく担当！最年少！"
"IDOL★ST∀R MINE","倉田","ほなみ","くらた","ほなみ","ISM_HONAMI","倉田ほなみ🐭アイスマ 12月11日 生誕祭～VERSUS東海ホール～","581","5931","","2001(19) 🤍銀色担当🤍 💍リーダー💍 ____________ #アイスマ #アイドルスターマイン #IDOLSTARMINE フィロソフィア・エンタテインメント"
"IDOL★ST∀R MINE","乙川","神楽","おつかわ","かぐら","ISM_KAGURA","乙川神楽💎アイスマ 11/27復帰","59","82","","@IDOL_STAR_MINE 青色担当💎"
"IDOL★ST∀R MINE","結城","来望","ゆうき","くるみ","ISM_KURUMI","結城 来望🧞‍♀️アイスマ","409","5099","","赤紫色🧞‍♀️23歳【Tik Tok → ism_kurumi】手話歌載せてる ##IDOLSTARMINE #アイスマ フィロソフィア・エンタテインメント"
"IDOL★ST∀R MINE","有栖川","心優","ありすがわ","みゆ","ISM_MIYU","有栖川 心優🐥 アイスマ","733","10724","","【ありすがわ みゆ】Lv.19 @IDOL_STAR_MINEのきいろ #アイスマ でいちばん身長高いおんなദ്ദി^._.^)キミと麺と卵があれは生きてけるദ്ദി^._.^)"
"IDOLATER","奥田","彩友","おくだ","あゆ","idolater_ayu","奥田 彩友","1516","2138","","IDOLATER（@Official_IDLT ）福井県出身20歳🌷170cm / 黒髪ぱっつん / 衣装製作 / フォローしてね 12/16（木） WWW XにてIDOLATER 2nd ワンマンライブ 「WONDERLAND」待ってます！👉🏻https://t.co/1ViLUq7GGg"
"IDOLATER","月代","来実","つきしろ","くるみ","idolater_pan","月代 来実","1733","2711","","IDOLATER ( @official_IDLT ) 埼玉県出身20歳📛InterFM897 #推シラジ アシスタントMC！赤色担当ぱんちゃんって呼んでね🍞12月16日(木)渋谷WWW Xにて2nd ワンマンライブ「WONDERLAND」チケット販売中🎟"
"IDOLATER","伏木","結晶乃","ふしき","ゆきの","idolater_yucky","伏木 結晶乃","2964","2702","","根っからのアイドルゆっけにゃん❄️🐈IDOLATER(@Official_IDLT)富山県産のむらさきショート。割と身長低め。歌ってみた投稿中【ASOBISYSTEM所属】https://t.co/sfwwcIiWXk"
"Ikenai Rouge Magic","高峯","みえこ","たかみね","みえこ","mieko_rouge","高峯 みえこ🦕ルーマジ","624","1623","","いけないルージュマジック（@I_RougeMagic_2) ミントグリーン担当💚 犬派🐶🐶🐶 イチゴのタルト/お菓子/肉"
"Ikenai Rouge Magic","二葉","みゆ","ふたば","みゆ","miyu_rouge","二葉みゆ🌱ルーマジ","833","1219","","11月28日（日）卒業🌱名古屋の新グループ Ikenai Rouge Magic（ルーマジ）黄色担当です。 よろしくお願いします。 公式→@I_RougeMagic_2 TikTok⇒ https://t.co/8na0g6pAgL"
"Ikenai Rouge Magic","美月","梨花","みづき","りんか","rinka_rouge","美月梨花❄️ルーマジ","929","1424","","ルーマジ@I_RougeMagic_2白色🤍美月梨花(みづきりんか)です❄️お肉だいすき食べるのだいすき🍴#ルーマジ"
"Ikenai Rouge Magic","椎名","ゆい","しいな","ゆい","yui_rouge","🦄椎名ゆい@ルーマジ🦄","908","1238","","( @I_RougeMagic_2 ) ぽんこつリーダー紫担当🔮 (@Harley_Queen_3)黒色兼任🖤＝踊ることが大好きhttps://t.co/DGpxUOJ1Gn"
"Ikenai Rouge Magic","桜井","ゆな","さくらい","ゆな","yuna_rouge","桜井ゆな🦋ルーマジ","521","621","","〈 @I_RougeMagic_2 ┊ @Harley_Queen_3 〉青色ちゃん┊猫とお肉をこよなく愛するAB型💎"
"Ikenai Rouge Magic","市原","友梨","いちはら","ゆうり","yuuri_rouge","市原友梨💒ルーマジ 27日生誕です🥺","1009","1702","","@I_RougeMagic_2 ❤︎ ピンク色担当になりました 🎀 ツインテール🐇コジコジとシナモンが好き https://t.co/m0jYCX63gR"
"iLiFE!","有栖","るな","ありす","るな","iLiFE_luna","有栖るな【iLiFE!】","4514","1336","","iLiFE!（@iLiFE_official）紫"
"iLiFE!","深月","らむ","みづき","らむ","iLiFE_ramu","深月らむ【iLiFE!】","8646","9925","","@iLiFE_official 蒙古タンメン 油そば 牛カツ お餅 チーズボール 焼肉 パフェ ドーナツ ポテト チュロス ヤンニョムチキン マカロン 串カツ たこ焼き チーズケーキ 唐揚げ丼 もんじゃ ケバブ #らむずっきゅん"
"iLiFE!","心花","りり","このか","りり","iLiFE_riri","心花りり【iLiFE!】","10797","1118","","@iLiFE_official 赤 このかりりです🍚"
"iLiFE!","天羽","しおり","あも","しおり","iLiFE_shiori","天羽しおり【iLiFE!】","10544","32688","","あいらいふのあもしおりさんです @iLiFE_official"
"INFIY∞","","AMI","","あみ","AMI_INFIY","AMI（INFIY∞）","1861","15525","","@INFIY_official 青 🇵🇭×🇪🇸×🇯🇵写真うつりが悪いです"
"INFIY∞","","KAEDE","","かえで","KAEDE_INFIY","KAEDE(INFIY∞)","2372","11204","","赤👶🏻🍁(@INFIY_official) #かえでばぶばぶ #かえでずかばーぶばぶ チェキレポ等 → #かえちゃんあのね"
"INFIY∞","","LILIA","","りりあ","LILIA_INFIY","LILIA(INFIY∞)","1569","11910","","INFIY∞黄色担当 🌻(@INFIY_official)"
"INFIY∞","","MEG","","めぐ","MEG_INFIY","MEG（INFIY∞）","1242","10224","","@INFIY_official オタク特有の早口"
"INFIY∞","","MOKA","","もか","MOKA_INFIY","MOKA(INFIY∞)","1387","20952","","@INFIY_official ぴんく🩰りぼん🎀毎日たのしく☺︎ ❤︎2022年3月16日(水)@新宿BLAZE ワンマンライブ絶対来てください！！！"
